Source IP,Destination IP,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,RST Flag Count,Label
192.168.1.9,192.168.1.13,UDP,312004.2106482255,8,7,1553.8073443057199,1569.5621592088705,132.8969315367098,136.42454562961424,1372.7491111010509,5.501204025170676,1,7,0,BENIGN
192.168.1.10,192.168.1.37,TCP,558471.0080807784,13,15,811.568024593106,2243.652479907023,168.87869547443012,165.73887944721497,2103.073682702211,25.2036751478622,0,8,1,BENIGN
192.168.1.34,192.168.1.21,ICMP,455933.1619771805,12,12,626.402769278849,1679.3097510844377,101.55275923370523,189.9295999450007,4014.7306139932975,16.645542868204302,0,10,0,BENIGN
192.168.1.59,192.168.1.28,ICMP,8523.749208649406,176,2,288.6603601627814,52.41228578203008,41.93462200482259,37.54854463788712,19589.735097299876,580.9208713320936,25,2,18,Botnet
192.168.1.56,192.168.1.45,ICMP,764132.1710048455,8,8,1485.0137516075706,2054.7995878440206,115.86867019716759,111.40164153156081,2925.701707834728,15.140740563945148,2,9,0,BENIGN
192.168.1.52,192.168.1.58,TCP,18884.071724438803,150,1,358.7579049368405,126.44280627375437,25.41173578950302,34.27687854375535,36112.90424178718,199.55508925870978,49,3,19,PortScan
192.168.1.17,192.168.1.41,TCP,20583.184204045763,135,2,450.91400888923505,6.793707066953758,50.73955871975795,35.294558358452356,42900.33374445449,144.34065483283715,45,1,20,DDoS
192.168.1.2,192.168.1.50,TCP,674850.8134825729,19,9,334.6179804348686,1168.1534360191436,80.51474965652957,163.1773898124317,4454.703610943062,7.152715224717861,0,7,0,BENIGN
192.168.1.53,192.168.1.23,ICMP,727928.7018963776,9,10,549.726878019401,451.3018664564613,131.62901908851958,150.19849330402263,3544.2796696566343,19.46966212750447,1,9,0,BENIGN
192.168.1.46,192.168.1.34,UDP,28618.225439611317,166,1,641.1299862309297,85.73462250140004,37.52653455272076,36.53866613792125,47499.732066605575,422.11958736114576,43,1,18,DDoS
192.168.1.25,192.168.1.29,TCP,553171.8432493185,13,14,1709.4949904700732,1897.9316261993208,148.99007651004527,176.03581158326125,3483.1492840302003,1.0,0,10,1,BENIGN
192.168.1.10,192.168.1.21,TCP,25603.15760995189,150,3,282.20766093997753,63.49937468133972,50.44101911109811,30.737719821682205,63892.90138383901,447.0375223789148,37,0,26,PortScan
192.168.1.51,192.168.1.10,TCP,464580.48623330216,13,11,1310.111720380064,1459.9835562459452,133.22601257414905,155.8461839200494,1771.9833722202472,26.56686209096693,0,6,0,BENIGN
192.168.1.6,192.168.1.47,UDP,25778.98238641066,188,6,531.6278880993267,65.26324063186684,35.14249898870306,35.431707915013206,64670.495568257145,253.2406510324869,37,2,23,PortScan
192.168.1.52,192.168.1.15,UDP,557475.3533984289,15,21,1080.4088539215377,1725.2223202400953,97.37316230899987,230.31461548522825,3887.925337370726,19.568020400825166,1,5,0,BENIGN
192.168.1.5,192.168.1.8,ICMP,14703.105953428676,130,2,798.5169188046489,132.4958863954981,33.43242491966906,19.923629458175593,50908.756790838306,296.40697781606116,36,1,15,DoS
192.168.1.23,192.168.1.46,TCP,471402.3413742261,13,11,1035.8071398404693,1766.4050856084289,66.19550809850979,179.42109828109815,2700.514121664827,16.984935856216943,2,4,0,BENIGN
192.168.1.26,192.168.1.20,ICMP,233987.81917854788,10,10,1182.7939207497684,1920.4968285432383,117.69967050337918,212.32752555667318,3760.837729899993,13.125270342095089,1,12,0,BENIGN
192.168.1.21,192.168.1.39,UDP,558282.7521918823,14,9,1549.3796746739313,1595.100089222698,100.06221655361246,96.8440361061537,2106.102403454338,21.697062980407953,1,5,0,BENIGN
192.168.1.36,192.168.1.36,ICMP,626630.1786039327,18,12,1193.4739381849452,752.8961109227495,64.70179770243453,131.0759999770684,1247.780533444375,24.52975178472177,3,7,0,BENIGN
192.168.1.4,192.168.1.43,TCP,2813.3186991045877,173,1,588.1068697693697,38.24132054171814,49.4850375847399,35.17694355063763,86492.7074819412,284.4980937882725,38,2,15,Botnet
192.168.1.34,192.168.1.29,UDP,573198.7056206882,6,10,1183.32716598884,1054.5021491380232,95.45114394496322,171.36623292306626,3301.8592174756595,21.13359128188889,1,6,0,BENIGN
192.168.1.45,192.168.1.26,UDP,351120.07887542155,14,20,1316.7212954910742,1276.0158318460053,88.6938618974373,170.77317519198445,2672.9982644898387,22.720991281375888,1,10,0,BENIGN
192.168.1.5,192.168.1.22,ICMP,551233.3326410764,12,6,1006.0127818738249,735.0996761680661,101.62113624780878,242.69812889279052,2762.275210358576,32.77202928287378,0,6,1,BENIGN
192.168.1.31,192.168.1.25,TCP,755118.9137642474,11,12,1550.972480687833,1725.3572803993852,133.67953833862225,114.14495379937405,2360.8754677970833,25.215323983182127,3,12,0,BENIGN
192.168.1.10,192.168.1.37,TCP,550844.2848861673,16,12,1508.6543246117953,1461.354745453152,78.18099676065434,226.6805404140993,3154.8954275180436,11.027618744158676,1,4,0,BENIGN
192.168.1.34,192.168.1.23,TCP,648098.4641040426,12,17,861.7379921169365,1218.3524388849291,112.45702890166505,109.51023231846344,2378.5188066268956,24.532757981630212,4,9,0,BENIGN
192.168.1.52,192.168.1.48,UDP,669345.8439081337,13,13,1265.3899500862171,1163.6195523186793,113.24895857607012,169.05724638183344,2278.897355640299,27.590851857359105,2,9,0,BENIGN
192.168.1.45,192.168.1.19,UDP,6368.930932828009,185,2,329.9641114867454,92.89184411957687,45.210102791278906,39.4323859658246,57601.44011616654,723.1735842688463,45,2,18,Botnet
192.168.1.20,192.168.1.38,UDP,200379.99606652104,12,13,1299.7724282892893,506.16607128699616,96.98938596408271,63.96628928596891,2778.603955304812,11.059511387370845,0,9,0,BENIGN
192.168.1.35,192.168.1.50,ICMP,21106.362222496922,150,1,540.4033808090335,72.86146162900977,47.09290348188782,31.35632914687656,28707.79060151199,553.5378694648712,26,4,20,DDoS
192.168.1.38,192.168.1.14,UDP,597588.9181737052,11,15,1044.98180744649,1502.23589363589,66.24354485680774,108.33010103716134,4034.0666675399743,16.332362916221662,1,10,1,BENIGN
192.168.1.41,192.168.1.55,ICMP,293284.7987698964,8,12,1794.2171907199295,1531.7576255180134,113.01056059245776,187.34632518912085,3954.306932405427,16.685268045815906,2,8,0,BENIGN
192.168.1.50,192.168.1.49,ICMP,809584.1803485003,11,7,713.1692218222893,1740.4861544281064,97.79732777926655,154.18374635558655,3953.4985424548586,25.643016721576842,1,5,0,BENIGN
192.168.1.17,192.168.1.31,TCP,323569.952503485,15,9,1653.9591119118827,875.829239497313,113.57820611277376,137.5312093991334,2375.0210380441167,23.25498483909312,3,7,1,BENIGN
192.168.1.32,192.168.1.21,ICMP,555403.7089549857,13,12,1402.978942745423,2129.076522735166,81.41733256175658,138.81626696024387,3317.526725094639,14.493963303736164,0,7,0,BENIGN
192.168.1.34,192.168.1.9,ICMP,636684.2007785972,13,12,444.6417667418001,1402.713106465478,88.93806169222093,168.53839280132584,3806.9424519523955,21.925900925850133,3,7,0,BENIGN
192.168.1.45,192.168.1.30,TCP,15396.71127328689,153,5,175.74304434575103,60.92704642649809,36.789115318925525,35.989533934654865,55648.87388005598,345.7669131534914,36,0,23,Botnet
192.168.1.25,192.168.1.53,TCP,398405.30868994526,13,10,1419.2127335631449,1686.1211922002474,89.55581808850243,20.0,2020.6108492785497,12.776114420135364,0,9,0,BENIGN
192.168.1.30,192.168.1.35,UDP,10039.7240956544,166,4,558.5875552655982,43.03561501848735,53.94530731560151,34.661610831759624,53060.287653957756,377.74683266050386,38,3,14,DoS
192.168.1.2,192.168.1.59,UDP,315573.8903960603,20,12,1133.0784094671426,1520.4862322394918,115.27026829635636,124.43237594163782,1131.3824144857824,24.934659649180418,2,11,0,BENIGN
192.168.1.8,192.168.1.47,TCP,588982.9071056165,8,13,1262.2059297113228,1957.8993896400943,89.01018325926628,170.64274208294563,5432.096073561458,23.023137089312037,2,7,0,BENIGN
192.168.1.50,192.168.1.50,UDP,489200.2111340317,15,15,1374.8958582369405,1227.3142449263842,81.85539303687486,193.97516722621768,3948.55845900381,13.573182610339257,1,16,0,BENIGN
192.168.1.47,192.168.1.54,ICMP,32847.6573714773,162,0,554.1398711517888,67.33324910933784,41.27052843133917,42.760397940001205,88449.23518774731,411.79570670540375,47,1,18,DDoS
192.168.1.19,192.168.1.41,UDP,426932.9658777233,16,10,1547.0140560084612,2239.5930852303227,87.78539615894896,173.5240041944598,3159.853276516119,24.84966991708725,1,8,0,BENIGN
192.168.1.41,192.168.1.4,TCP,570473.738480745,8,12,976.3439568414321,1268.1176936011188,137.65599303355637,158.25586981829076,3384.3649498743653,4.447977836992882,1,6,0,BENIGN
192.168.1.29,192.168.1.19,ICMP,591944.8070711899,13,19,1550.9143564436863,1576.9890025993031,66.57311872017927,116.78038767454407,3120.581438791675,20.442396507800844,2,9,0,BENIGN
192.168.1.58,192.168.1.14,ICMP,472631.61354081985,13,7,1645.921931672673,1082.334668550601,74.84469972041398,146.91437041956064,2802.7574153490223,30.071649563945044,0,12,0,BENIGN
192.168.1.57,192.168.1.32,TCP,365859.1993769667,11,8,638.5707685746372,608.1756519833324,102.19502410089684,178.10275683173347,1988.921821655758,24.726190150892215,0,4,0,BENIGN
192.168.1.39,192.168.1.8,TCP,449145.0386149156,19,16,1331.5203713723265,983.9377404757805,58.32408583375086,198.3193430487445,2931.0548251283476,12.277582800868117,0,9,0,BENIGN
192.168.1.20,192.168.1.2,UDP,775433.875959503,10,9,735.8810421219621,2666.345431490049,110.36331216984638,208.71036272940717,4150.176007890709,25.79295328968868,1,9,0,BENIGN
192.168.1.47,192.168.1.34,TCP,21474.014318901838,149,3,136.8997264227071,23.012121315475,17.9036920246694,53.46010147465999,39744.23177289893,158.86015168871046,39,1,23,DoS
192.168.1.13,192.168.1.31,TCP,517081.27912130184,13,9,986.1396201557386,995.3662411378093,98.81426453357965,62.933270699677564,3028.379370354734,20.086177907395818,0,4,0,BENIGN
192.168.1.15,192.168.1.54,TCP,26738.473029763692,121,2,445.014367217548,64.0259755074865,49.84737487829467,47.46906276141108,42380.61086923792,549.8724661494166,45,3,18,DDoS
192.168.1.15,192.168.1.3,ICMP,629687.7793291485,13,10,1617.1281349702294,1665.0509272678394,131.93513053667033,112.07691791167981,3925.416201640367,21.07360176124545,2,10,0,BENIGN
192.168.1.17,192.168.1.47,UDP,301670.6050868827,11,10,1340.5518111551,1530.5602332333572,58.640886908929126,169.10930671510658,2824.792653754125,27.372999957912267,1,2,1,BENIGN
192.168.1.54,192.168.1.8,ICMP,373927.22565066215,11,14,621.229947559351,2009.7530125960852,63.28333997775883,143.03161012088765,1782.3584738116201,26.36322052664378,1,4,0,BENIGN
192.168.1.3,192.168.1.38,ICMP,505836.981035219,10,9,1033.2775885460833,220.74125008201008,84.57214672436237,190.93135031078617,3203.8278194758473,31.765048628011975,0,7,0,BENIGN
192.168.1.43,192.168.1.52,TCP,608856.1974978084,10,12,1354.82287192058,2153.4969136109075,107.30343203056535,91.01507702870512,4521.179452015724,28.50671616986847,1,8,0,BENIGN
192.168.1.51,192.168.1.49,TCP,400663.27710131113,16,11,977.756636054385,1425.8702025961618,132.93647045106698,131.12458845984352,1807.50153471454,1.6376527583345322,1,4,0,BENIGN
192.168.1.29,192.168.1.55,UDP,541522.9593996231,11,9,643.5763019562969,1305.339818336102,95.219371255567,146.90147813395845,1277.8396438714988,37.3864484337324,0,6,0,BENIGN
192.168.1.10,192.168.1.14,ICMP,25058.937255888133,171,3,323.76070351947965,83.05329330521556,35.45790379761043,0.0,42106.11514961261,612.8471288533011,44,0,18,DoS
192.168.1.36,192.168.1.17,ICMP,484072.71040661354,16,9,1115.2359671714694,939.2128625413512,137.47451429014393,117.50712450046257,3481.4691866849525,24.012955718041745,2,7,0,BENIGN
192.168.1.30,192.168.1.55,TCP,337051.91631777823,16,11,1088.842850862598,1772.1302496186909,92.69558426921154,94.34677375574495,2901.2070195755205,8.377970089296761,1,8,0,BENIGN
192.168.1.22,192.168.1.58,TCP,23247.63269539849,160,1,795.2922843353898,98.12907965447764,23.622665151915598,29.419884627310093,72136.90294011583,230.93398962349295,42,2,26,Bruteforce
192.168.1.19,192.168.1.32,TCP,502202.0209834567,10,8,1105.6293191248567,1452.8488998863252,66.7246858139826,172.02720400479134,2565.367381640657,28.958465064985567,1,8,0,BENIGN
192.168.1.8,192.168.1.53,ICMP,22851.745350034464,149,2,532.1106576240124,64.24733438119372,24.99882630180681,33.30888935410934,53827.59388532361,129.98850000863274,28,3,12,DDoS
192.168.1.45,192.168.1.41,UDP,571629.4005900193,14,13,1386.902346598923,1317.8263395103202,55.50091440087168,107.55836195819681,2980.842681061736,22.79918955091725,1,6,0,BENIGN
192.168.1.59,192.168.1.44,ICMP,479925.5213367449,15,10,1380.9550903383465,153.290204904534,108.8507119337351,154.0463927469759,3115.3871878211003,17.60253813383962,0,10,0,BENIGN
192.168.1.45,192.168.1.38,UDP,501550.3344773532,13,13,1197.5181842353315,2080.7590187534893,110.35945267939852,164.9501264631623,4352.971285422092,16.014395224744057,0,11,0,BENIGN
192.168.1.15,192.168.1.56,TCP,680831.084672043,17,10,554.7210970971923,1206.671903931684,84.94882942818548,165.99251710043367,2566.0009555083175,19.0483883339251,0,7,1,BENIGN
192.168.1.13,192.168.1.6,ICMP,555848.8340090457,14,9,1115.5850726917986,1365.0544598019026,90.04149530467306,134.1567612372983,3965.117693866049,12.117739265733281,3,9,0,BENIGN
192.168.1.13,192.168.1.30,ICMP,577393.7715151766,12,6,1585.0833659346736,2428.3110043911506,91.6049959783017,175.83759970249068,2733.9765159475805,17.66399855040715,1,8,0,BENIGN
192.168.1.5,192.168.1.15,ICMP,203947.59853870975,13,8,1741.4982556995462,1525.1747574483843,85.91985132107516,136.7687310242526,3322.606741468553,21.159615278677236,0,12,0,BENIGN
192.168.1.8,192.168.1.12,TCP,32033.524971331302,136,1,503.9389076717765,93.0432509974984,62.81667055563609,30.192244449259082,62924.66275253396,477.6104907916788,33,5,15,Bruteforce
192.168.1.16,192.168.1.31,ICMP,684384.1370939272,11,14,1097.3512766573551,1067.8878095154487,48.519771375205295,135.09952894422148,4308.885790361501,35.91931357252967,0,6,0,BENIGN
192.168.1.23,192.168.1.40,TCP,388220.37937678065,18,6,1419.8658754909045,1943.540488023622,102.26195162321557,209.42689783617192,4113.449814420321,20.86821033779067,1,15,0,BENIGN
192.168.1.57,192.168.1.14,ICMP,611844.2910385131,12,11,1132.3275705183453,2015.0263336729781,45.37778146432273,127.8606258028134,4085.411026641601,13.485688400544554,2,4,1,BENIGN
192.168.1.28,192.168.1.56,ICMP,28279.48363064913,158,2,166.15019550164266,25.6876161464736,17.393954540888696,15.130049067516973,33302.10984669809,532.784517023985,38,5,12,Botnet
192.168.1.27,192.168.1.43,TCP,522476.362098092,13,16,494.0161428996445,1371.3236483354035,102.14190737863292,152.71019970056264,2857.5801779455614,20.740110208725486,1,9,0,BENIGN
192.168.1.23,192.168.1.28,UDP,408764.040599407,18,13,1213.2139743694363,1300.2719796073698,38.98660445981295,190.27448692597565,4359.33572257879,11.21176867578679,3,9,0,BENIGN
192.168.1.12,192.168.1.55,TCP,506393.37846180587,11,18,1387.8150143507046,1717.027465204613,141.277514491948,205.6944267498241,3279.343588161699,6.292636772467818,2,7,0,BENIGN
192.168.1.32,192.168.1.3,UDP,35577.720502387485,171,0,430.77820683475363,78.04542727231855,27.167004291348267,29.166082122925864,45910.74178045284,352.19019310746586,36,2,16,DDoS
192.168.1.31,192.168.1.21,TCP,498767.75293752656,14,13,1005.6794465193273,1490.2611218039401,53.4395275203095,159.4937508653833,3763.883568882619,30.491669181700395,2,9,0,BENIGN
192.168.1.6,192.168.1.29,UDP,470614.46375105355,18,10,1734.6435649431298,1215.7512123914635,162.06001622095312,186.56088176551765,3311.270395008485,24.41920999216495,0,9,0,BENIGN
192.168.1.34,192.168.1.16,ICMP,659380.0274464876,12,13,1709.4439142455176,1305.8336514835014,119.70630902531838,108.57008240104999,2660.988962625712,10.313724035439751,1,5,0,BENIGN
192.168.1.32,192.168.1.48,ICMP,551118.7112003159,11,10,1005.8341501862712,660.4174169366811,137.9835299420624,165.58867527666857,1661.5413046667693,31.819022350479926,1,13,0,BENIGN
192.168.1.46,192.168.1.32,TCP,632511.8261135885,10,9,839.2458303815739,1585.9734281844283,109.24181274042643,188.14538071646518,1545.8610636728797,8.840824731377591,1,8,0,BENIGN
192.168.1.48,192.168.1.58,UDP,527439.3130308436,10,14,908.3268543561767,2042.5558596516912,101.18488898133621,192.1540137931234,4746.096557015981,14.100065915495907,0,4,0,BENIGN
192.168.1.35,192.168.1.34,ICMP,23369.15073384001,177,2,404.2871120723074,103.01912700333632,56.12323166213015,65.27543318829431,40850.83252966332,320.26894337904463,48,1,11,DDoS
192.168.1.25,192.168.1.38,UDP,491049.7279159207,13,8,902.962155603618,1920.9289621575363,78.148478387135,125.34294905351217,3269.8875136222696,13.995561425894861,0,4,0,BENIGN
192.168.1.41,192.168.1.34,TCP,687081.7131713675,12,11,1270.848613630974,1304.2528407268815,94.33844870770882,151.9353576993119,2185.421285340602,29.367363553304877,2,6,0,BENIGN
192.168.1.30,192.168.1.55,UDP,711876.9604941509,12,11,1557.923201035861,1580.614050637003,75.46614120294109,161.24987120194064,5027.520700387361,25.107912202394466,2,8,0,BENIGN
192.168.1.26,192.168.1.31,UDP,594409.6918285076,16,9,933.6250657703206,1395.7024221254749,124.54869498788041,106.48484185766976,3711.738003586467,22.612844377927605,0,6,0,BENIGN
192.168.1.40,192.168.1.56,TCP,25392.17480662337,169,3,351.80355405620145,17.599233508649277,37.20586757738264,29.57004932537522,70094.08549993935,331.3191903242156,38,3,23,DoS
192.168.1.42,192.168.1.13,ICMP,721919.321577829,11,10,1689.442591112468,2007.415981247766,32.14947136355089,158.8997339384601,2179.028644596111,22.777083734495804,2,7,0,BENIGN
192.168.1.31,192.168.1.32,ICMP,532544.2735421787,11,12,947.1613918405081,1423.2156010346216,55.25779669525125,102.87386667933838,2861.775121458717,27.845047054696916,2,8,2,BENIGN
192.168.1.30,192.168.1.53,UDP,722034.4803456961,10,12,1334.8501155636204,2286.543166586669,123.97398830083574,147.1369562890118,4141.639007456101,26.130265185704783,1,8,1,BENIGN
192.168.1.36,192.168.1.22,TCP,835824.7499621636,15,15,1503.5050872600104,769.4484907187756,91.33539010234193,135.72633432766588,3071.724854458419,13.490704417911342,1,9,0,BENIGN
192.168.1.28,192.168.1.39,UDP,464625.5956737721,14,12,1266.6496748188995,1411.3710819686994,106.44329437129298,128.98139937515006,2578.0515122981283,16.48734377975518,3,8,0,BENIGN
192.168.1.51,192.168.1.47,TCP,16863.908129360512,161,4,373.3753380018531,84.29251075892604,43.426736569712496,42.49527154041603,82561.8117248657,413.10459979034164,35,2,22,DoS
192.168.1.47,192.168.1.56,ICMP,509152.2283121308,13,8,478.2641429244993,1158.2957140342883,79.5344805070385,181.1187210226559,2188.6220988172217,27.326528031150033,0,7,0,BENIGN
192.168.1.2,192.168.1.41,UDP,446889.67859458126,12,7,1009.6418311763839,1279.3990491625536,134.2410313949914,109.67358287317968,4540.990891470198,11.97755120163227,0,4,0,BENIGN
192.168.1.41,192.168.1.19,ICMP,232458.33054287249,11,6,1269.1354428540626,1620.8839291315685,68.07307407282698,141.72448515081138,2946.495891729618,19.382775241111318,1,7,0,BENIGN
192.168.1.10,192.168.1.41,ICMP,621760.3564994753,10,13,222.12507480065824,1288.9583101595822,125.80992494823833,118.50977204677245,3227.4355701223926,11.610379839906043,0,15,0,BENIGN
192.168.1.39,192.168.1.30,UDP,476402.3250727301,16,9,923.9988950676409,1444.1466011124007,115.27656512969729,156.83634928125477,1675.6906232753681,32.6092833737616,2,5,0,BENIGN
192.168.1.21,192.168.1.55,UDP,265429.47496914933,16,15,1065.1893205774259,1072.5339473177332,137.62974968965645,78.46597707657773,2346.1373076913405,20.179345691247374,2,6,1,BENIGN
192.168.1.50,192.168.1.59,ICMP,681428.1053664329,14,9,1880.6658368521908,1283.6790357395316,93.5445728629765,188.03852701934724,2190.302895561585,24.49968377921005,0,8,0,BENIGN
192.168.1.16,192.168.1.13,UDP,496659.00820483017,9,15,217.52608003126147,1227.3953215086603,125.70031171306505,115.07376690831182,1835.832817458344,22.93035647225297,2,11,0,BENIGN
192.168.1.34,192.168.1.31,UDP,565627.6570050672,11,8,1495.0474329586966,1693.1230408455815,103.11376713602462,172.47269978771916,1406.2929413240229,18.352699574818903,0,13,0,BENIGN
192.168.1.49,192.168.1.55,UDP,509741.4631326114,12,12,1389.7892413964778,1744.7959382697131,149.25670521443436,188.71401575008835,3083.253472730632,17.792651207328447,1,11,0,BENIGN
192.168.1.21,192.168.1.9,ICMP,554150.1655447161,10,9,532.7996740139415,1024.7830956896453,101.02812868641595,68.19411761234676,2569.667062535487,23.636083233768197,2,5,0,BENIGN
192.168.1.20,192.168.1.20,TCP,425849.0074725959,11,12,1254.7191775428016,1032.4004783112678,116.19879102080048,94.5743262209204,3301.6938066779894,18.862338143236826,1,8,0,BENIGN
192.168.1.14,192.168.1.23,ICMP,629092.6283505445,14,13,1284.680885890112,2252.405955875742,88.83430505994009,149.53865402356558,2612.26435245863,28.686022607088383,0,9,0,BENIGN
192.168.1.53,192.168.1.9,ICMP,23438.25699973674,138,2,657.4451525507059,107.98459121926373,52.92421376663157,41.22851317442641,19518.374851549008,341.90985334020274,36,1,12,PortScan
192.168.1.23,192.168.1.45,UDP,364865.4507043137,10,18,1288.5792861319273,1851.9593540243152,54.061706405526806,214.47040104059343,3568.616215783789,24.3115297887847,1,6,1,BENIGN
192.168.1.58,192.168.1.56,UDP,515518.5747340546,14,13,1811.5342776807315,2286.6418708752617,123.1485564574971,83.35228273803845,4557.52317984945,34.17910069585684,2,8,1,BENIGN
192.168.1.20,192.168.1.6,ICMP,603147.8726763519,21,11,937.8371183757366,1477.927904609383,98.27517985013276,110.12367537271888,3584.164160419735,19.00978983347643,1,15,0,BENIGN
192.168.1.55,192.168.1.38,UDP,265856.24705083354,9,10,1180.687308309498,1341.449719564658,152.79851808001882,234.77131517852052,4052.8967801067224,16.123044919054763,0,9,0,BENIGN
192.168.1.36,192.168.1.34,UDP,351000.930991297,10,6,955.2193187602097,1031.8719838265279,64.56021203923444,124.82024445087652,4206.444228553754,7.949355792488124,1,10,1,BENIGN
192.168.1.3,192.168.1.9,ICMP,19373.031514572267,149,1,359.4219926199481,46.16909299381056,62.01970045072005,47.19075356043386,42494.183295540315,451.6120502939235,44,0,16,Botnet
192.168.1.31,192.168.1.21,UDP,24706.497373627346,163,1,490.5004587864626,93.68441151703234,27.607033976421,30.93468162054916,77468.95458190843,379.72138149281363,32,2,17,Botnet
192.168.1.55,192.168.1.58,ICMP,301595.0581468396,15,7,1362.857732337291,880.4458971481578,103.48793225691082,214.0689626777171,4279.5375140083,4.142499092850185,1,7,0,BENIGN
192.168.1.14,192.168.1.27,TCP,272245.22786900133,11,14,817.5228283291439,1553.076011444139,142.7478668591944,201.17382404047285,4358.961389082814,21.57553586329515,0,5,0,BENIGN
192.168.1.38,192.168.1.30,ICMP,634340.7864971518,10,9,867.2343337604905,1244.604123771594,121.29838551112437,162.69288184098528,2772.1887857068486,29.24933894877927,0,11,0,BENIGN
192.168.1.25,192.168.1.3,UDP,11004.246787988282,148,0,533.1466727204834,75.7065595948409,42.88168112822103,21.8520758412187,60578.495857741196,429.92693897357833,35,1,9,Botnet
192.168.1.10,192.168.1.37,UDP,464096.65587904636,12,14,1581.7993052526374,1763.6704361337706,109.29450261074362,246.57951922165788,3519.0820149854735,19.38497885724915,1,7,0,BENIGN
192.168.1.10,192.168.1.52,TCP,267523.13180161244,15,13,1258.9479546288271,1034.972709848075,46.371284729802376,97.07759298000245,2154.266181796594,21.022741201183226,0,6,0,BENIGN
192.168.1.37,192.168.1.20,TCP,367554.2140829038,9,11,1320.268772611157,1396.404803939429,86.69507874320934,144.27327677875095,2547.229193943844,23.171573033497157,1,7,0,BENIGN
192.168.1.39,192.168.1.24,UDP,377934.09076281835,11,11,1026.4510347193377,1237.3875067706522,98.84174763828558,121.61155142999966,3785.383207579523,27.00206997527048,0,11,1,BENIGN
192.168.1.40,192.168.1.20,ICMP,292308.35779485304,10,11,885.8860512467872,1593.3965407550236,129.15542978734086,126.09304721130343,3969.352894089965,23.11584351191497,0,5,2,BENIGN
192.168.1.43,192.168.1.9,ICMP,464509.1713327506,13,14,759.340169196256,1424.186232256266,88.7483985029929,127.05609195450597,3492.2305008716135,22.51777579905743,0,13,1,BENIGN
192.168.1.9,192.168.1.52,TCP,320073.67586633645,11,6,954.9729880448867,2143.086720463809,135.82008491163336,165.04923524191585,2861.0008583564954,31.47226330734604,3,7,0,BENIGN
